
Training the network for 150 epochs, with a batch size of 8





Training Epoch [0/150]:  92%|▉| 35/38 [00:09<00:00,  5.80it/s, acc=0.8954849, dice=0.91117984, iou=0.8368






Training Epoch [3/150]:  66%|▋| 25/38 [00:02<00:01, 10.60it/s, acc=0.90322685, dice=0.9310364, iou=0.8709






Training Epoch [6/150]:  61%|▌| 23/38 [00:02<00:01, 10.89it/s, acc=0.968874, dice=0.97980624, iou=0.96041



Training Epoch [8/150]:  47%|▍| 18/38 [00:01<00:01, 12.40it/s, acc=0.92331123, dice=0.91823876, iou=0.848

Training Epoch [9/150]:  50%|▌| 19/38 [00:01<00:01, 11.94it/s, acc=0.91470146, dice=0.93050987, iou=0.870

Training Epoch [10/150]:  50%|▌| 19/38 [00:01<00:01, 11.54it/s, acc=0.97777176, dice=0.9792205, iou=0.959










Training Epoch [15/150]:  71%|▋| 27/38 [00:02<00:00, 11.77it/s, acc=0.9766216, dice=0.9775838, iou=0.9561




































Training Epoch [33/150]:  47%|▍| 18/38 [00:01<00:01, 11.33it/s, acc=0.9849453, dice=0.98860884, iou=0.977

Training Epoch [34/150]:  47%|▍| 18/38 [00:01<00:01, 11.62it/s, acc=0.99669456, dice=0.99741966, iou=0.99


Validation Epoch [35/150]:  25%|▎| 2/8 [00:00<00:00, 19.57it/s, acc_val=0.93865967, iou_val=0.9086255, lo








































Training Epoch [55/150]:  45%|▍| 17/38 [00:01<00:01, 12.12it/s, acc=0.97245216, dice=0.981316, iou=0.9633



Training Epoch [57/150]:  45%|▍| 17/38 [00:01<00:01, 11.59it/s, acc=0.96925163, dice=0.97324526, iou=0.94

Training Epoch [58/150]:  53%|▌| 20/38 [00:01<00:01, 12.39it/s, acc=0.9938412, dice=0.9952667, iou=0.9905

Training Epoch [59/150]:  53%|▌| 20/38 [00:01<00:01, 11.90it/s, acc=0.96665764, dice=0.9593527, iou=0.921

Training Epoch [60/150]:  53%|▌| 20/38 [00:01<00:01, 11.42it/s, acc=0.9774399, dice=0.9865801, iou=0.9735





Training Epoch [63/150]:  47%|▍| 18/38 [00:01<00:01, 12.57it/s, acc=0.98851585, dice=0.9896271, iou=0.979

Training Epoch [64/150]:  50%|▌| 19/38 [00:01<00:01, 12.20it/s, acc=0.96918297, dice=0.97639626, iou=0.95



Training Epoch [66/150]:  45%|▍| 17/38 [00:01<00:01, 12.09it/s, acc=0.99559784, dice=0.9966826, iou=0.993

Training Epoch [67/150]:  50%|▌| 19/38 [00:01<00:01, 12.27it/s, acc=0.9938431, dice=0.99322003, iou=0.986

Training Epoch [68/150]:  58%|▌| 22/38 [00:01<00:01, 12.13it/s, acc=0.98604584, dice=0.98914623, iou=0.97































Training Epoch [84/150]:  45%|▍| 17/38 [00:01<00:01, 12.21it/s, acc=0.95085144, dice=0.9122463, iou=0.838

