
Training the network for 150 epochs, with a batch size of 8











Training Epoch [2/150]:  84%|▊| 36/43 [00:05<00:01,  5.77it/s, acc=0.71531105, dice=0.5217422, iou=0.3529

Epoch     3: reducing learning rate of group 0 to 1.0000e-05.


  0%|                                                                              | 0/5 [00:00<?, ?it/s]




Training Epoch [4/150]:  79%|▊| 34/43 [00:04<00:01,  7.12it/s, acc=0.7913456, dice=0.8259851, iou=0.70355



Training Epoch [5/150]:  79%|▊| 34/43 [00:05<00:01,  6.73it/s, acc=0.9083557, dice=0.8873414, iou=0.79749
Epoch     6: reducing learning rate of group 0 to 1.0000e-07.






Validation Epoch [7/150]:  40%|▍| 2/5 [00:00<00:00,  7.58it/s, acc_val=0.9303036, iou_val=0.8293011, loss















Training Epoch [11/150]:  88%|▉| 38/43 [00:05<00:00,  6.43it/s, acc=0.92684364, dice=0.9027004, iou=0.822

















Training Epoch [16/150]:  79%|▊| 34/43 [00:05<00:01,  6.58it/s, acc=0.8695431, dice=0.8339189, iou=0.7151






Training Epoch [18/150]:  77%|▊| 33/43 [00:04<00:01,  5.35it/s, acc=0.9656849, dice=0.96458596, iou=0.931


Training Epoch [19/150]:  65%|▋| 28/43 [00:03<00:02,  7.40it/s, acc=0.81949043, dice=0.6970437, iou=0.534



Training Epoch [20/150]:  77%|▊| 33/43 [00:04<00:01,  7.18it/s, acc=0.76792145, dice=0.608633, iou=0.4374











Training Epoch [23/150]:  72%|▋| 31/43 [00:06<00:01,  8.39it/s, acc=0.73999786, dice=0.5142674, iou=0.346










Training Epoch [26/150]:  77%|▊| 33/43 [00:04<00:01,  7.05it/s, acc=0.9593601, dice=0.96010965, iou=0.923






Training Epoch [28/150]:  81%|▊| 35/43 [00:04<00:01,  7.83it/s, acc=0.9043541, dice=0.9068829, iou=0.8296










Training Epoch [31/150]:  81%|▊| 35/43 [00:04<00:01,  6.20it/s, acc=0.9521618, dice=0.92840564, iou=0.866

























































Training Epoch [47/150]:  77%|▊| 33/43 [00:05<00:01,  6.92it/s, acc=0.92988014, dice=0.91869813, iou=0.84






Training Epoch [49/150]:  72%|▋| 31/43 [00:04<00:01,  7.49it/s, acc=0.89951515, dice=0.89527845, iou=0.81






Training Epoch [51/150]:  77%|▊| 33/43 [00:04<00:01,  7.27it/s, acc=0.92250633, dice=0.8919163, iou=0.804

















Training Epoch [56/150]:  74%|▋| 32/43 [00:04<00:01,  6.78it/s, acc=0.9821129, dice=0.9806598, iou=0.9620










































Training Epoch [68/150]:  77%|▊| 33/43 [00:04<00:01,  7.19it/s, acc=0.91719055, dice=0.9142654, iou=0.842





































Training Epoch [78/150]:  74%|▋| 32/43 [00:04<00:01,  6.60it/s, acc=0.7810154, dice=0.5657366, iou=0.3944

















Training Epoch [83/150]:  74%|▋| 32/43 [00:05<00:01,  7.26it/s, acc=0.9571171, dice=0.95000637, iou=0.904

















Training Epoch [88/150]:  77%|▊| 33/43 [00:04<00:01,  7.58it/s, acc=0.8899956, dice=0.8562599, iou=0.7486






Training Epoch [90/150]:  74%|▋| 32/43 [00:04<00:01,  7.22it/s, acc=0.927845, dice=0.9296887, iou=0.86861






















Training Epoch [96/150]:  72%|▋| 31/43 [00:04<00:01,  7.00it/s, acc=0.64720535, dice=0.38719296, iou=0.24
























Training Epoch [103/150]:  81%|▊| 35/43 [00:04<00:01,  5.78it/s, acc=0.91965103, dice=0.93089384, iou=0.8

















Training Epoch [108/150]:  79%|▊| 34/43 [00:04<00:01,  7.97it/s, acc=0.8543415, dice=0.75521123, iou=0.60






Training Epoch [110/150]:  74%|▋| 32/43 [00:04<00:01,  7.36it/s, acc=0.936615, dice=0.9123485, iou=0.8388

















Training Epoch [115/150]:  67%|▋| 29/43 [00:04<00:02,  6.75it/s, acc=0.9287472, dice=0.9019015, iou=0.821








Training Epoch [117/150]:  79%|▊| 34/43 [00:04<00:01,  7.50it/s, acc=0.9095745, dice=0.906298, iou=0.8286






Training Epoch [119/150]:  74%|▋| 32/43 [00:04<00:01,  6.62it/s, acc=0.958992, dice=0.96071106, iou=0.924



































Training Epoch [129/150]:  79%|▊| 34/43 [00:04<00:01,  4.72it/s, acc=0.96123314, dice=0.95529693, iou=0.9










Training Epoch [132/150]:  77%|▊| 33/43 [00:04<00:01,  7.12it/s, acc=0.8905201, dice=0.8262306, iou=0.703

























Training Epoch [139/150]:  74%|▋| 32/43 [00:07<00:02,  5.33it/s, acc=0.9682522, dice=0.96714455, iou=0.93










Training Epoch [142/150]:  84%|▊| 36/43 [00:04<00:00,  8.92it/s, acc=0.79722977, dice=0.61373, iou=0.4427




















Training Epoch [148/150]:  72%|▋| 31/43 [00:04<00:01,  7.02it/s, acc=0.95576096, dice=0.94774735, iou=0.9



Training Epoch [149/150]:  88%|▉| 38/43 [00:05<00:00,  7.25it/s, acc=0.8916149, dice=0.8194903, iou=0.694
