
Training the network for 100 epochs, with a batch size of 8



















Validation Epoch [4/100]:  40%|▍| 2/5 [00:00<00:00, 16.13it/s, acc_val=0.54533386, iou_val=0.52038085, lo







Training Epoch [6/100]:  70%|▋| 30/43 [00:04<00:01,  7.12it/s, acc=0.9368458, dice=0.93203664, iou=0.8727






  0%|                                                                             | 0/43 [00:00<?, ?it/s]














Training Epoch [12/100]:  72%|▋| 31/43 [00:04<00:01,  7.15it/s, acc=0.8730774, dice=0.8069801, iou=0.6764
Training Epoch [13/100]:  19%|▏| 8/43 [00:01<00:05,  6.93it/s, acc=0.95986176, dice=0.95627075, iou=0.916



Training Epoch [13/100]:  81%|▊| 35/43 [00:05<00:01,  7.15it/s, acc=0.85076714, dice=0.74882585, iou=0.59






Training Epoch [15/100]:  74%|▋| 32/43 [00:04<00:01,  6.99it/s, acc=0.8385391, dice=0.7872702, iou=0.6491


  0%|                                                                              | 0/5 [00:00<?, ?it/s]







Training Epoch [18/100]:  65%|▋| 28/43 [00:04<00:02,  6.77it/s, acc=0.83755493, dice=0.83462393, iou=0.71



Training Epoch [19/100]:  72%|▋| 31/43 [00:04<00:02,  5.36it/s, acc=0.9389744, dice=0.9175461, iou=0.8476


Training Epoch [20/100]:  93%|▉| 40/43 [00:05<00:00,  5.54it/s, acc=0.8371048, dice=0.7087474, iou=0.5488




Training Epoch [21/100]:  72%|▋| 31/43 [00:04<00:01,  6.98it/s, acc=0.9637699, dice=0.9646471, iou=0.9317










Training Epoch [24/100]:  86%|▊| 37/43 [00:05<00:00,  6.53it/s, acc=0.7183418, dice=0.7483667, iou=0.5979






















Training Epoch [30/100]:  74%|▋| 32/43 [00:04<00:02,  4.03it/s, acc=0.8834171, dice=0.816141, iou=0.68939



























Training Epoch [38/100]:  77%|▊| 33/43 [00:05<00:01,  6.85it/s, acc=0.92886543, dice=0.891071, iou=0.8035













Training Epoch [42/100]:  79%|▊| 34/43 [00:04<00:01,  8.14it/s, acc=0.92871475, dice=0.9147642, iou=0.842






Training Epoch [44/100]:  77%|▊| 33/43 [00:05<00:01,  6.98it/s, acc=0.9349289, dice=0.9372773, iou=0.8819

















































Training Epoch [58/100]:  70%|▋| 30/43 [00:04<00:01,  7.14it/s, acc=0.9626503, dice=0.96033096, iou=0.923































Training Epoch [67/100]:  77%|▊| 33/43 [00:05<00:01,  5.10it/s, acc=0.95806885, dice=0.96161824, iou=0.92

















Training Epoch [72/100]:  74%|▋| 32/43 [00:04<00:01,  5.59it/s, acc=0.9633484, dice=0.9675449, iou=0.9371






Training Epoch [74/100]:  72%|▋| 31/43 [00:04<00:01,  7.02it/s, acc=0.94838333, dice=0.9511328, iou=0.906













Training Epoch [78/100]:  72%|▋| 31/43 [00:04<00:01,  7.29it/s, acc=0.9424038, dice=0.91451687, iou=0.842













Training Epoch [82/100]:  72%|▋| 31/43 [00:04<00:01,  7.28it/s, acc=0.90068626, dice=0.92030346, iou=0.85



































Training Epoch [92/100]:  81%|▊| 35/43 [00:04<00:01,  7.36it/s, acc=0.95451736, dice=0.96424264, iou=0.93




Training Epoch [93/100]:  77%|▊| 33/43 [00:07<00:01,  7.19it/s, acc=0.8708267, dice=0.8864385, iou=0.7960






Training Epoch [95/100]:  72%|▋| 31/43 [00:04<00:02,  5.32it/s, acc=0.9655323, dice=0.9493286, iou=0.9035













Training Epoch [99/100]:  86%|▊| 37/43 [00:05<00:00,  7.14it/s, acc=0.81018066, dice=0.5974794, iou=0.426
