
Training Epoch [0/100]:  23%|▏| 10/43 [00:01<00:04,  7.11it/s, acc=0.97940254, dice=0.9790897, iou=0.9590








































Training Epoch [11/100]:  65%|▋| 28/43 [00:04<00:02,  7.31it/s, acc=0.89941597, dice=0.8414581, iou=0.726



























Training Epoch [19/100]:  84%|▊| 36/43 [00:05<00:00,  7.21it/s, acc=0.85791206, dice=0.6993587, iou=0.537









Training Epoch [22/100]:  77%|▊| 33/43 [00:04<00:01,  7.64it/s, acc=0.96046257, dice=0.9590225, iou=0.921



Training Epoch [23/100]:  63%|▋| 27/43 [00:05<00:02,  7.43it/s, acc=0.919363, dice=0.9273864, iou=0.86460



Training Epoch [24/100]:  77%|▊| 33/43 [00:04<00:01,  5.21it/s, acc=0.91700745, dice=0.7984753, iou=0.664











Training Epoch [28/100]:  63%|▋| 27/43 [00:02<00:01,  9.41it/s, acc=0.9085407, dice=0.85041815, iou=0.739




















Training Epoch [38/100]:  77%|▊| 33/43 [00:02<00:00, 11.23it/s, acc=0.97112465, dice=0.96834034, iou=0.93


Training Epoch [39/100]:  63%|▋| 27/43 [00:03<00:02,  6.48it/s, acc=0.97566605, dice=0.97834593, iou=0.95




















Training Epoch [47/100]:  63%|▋| 27/43 [00:02<00:01,  9.19it/s, acc=0.95841026, dice=0.9584446, iou=0.920







Training Epoch [50/100]:  65%|▋| 28/43 [00:02<00:01,  9.67it/s, acc=0.965065, dice=0.9704872, iou=0.94266












Training Epoch [55/100]:  65%|▋| 28/43 [00:03<00:01,  9.12it/s, acc=0.95960236, dice=0.93342596, iou=0.87




Training Epoch [57/100]:  65%|▋| 28/43 [00:02<00:01,  9.54it/s, acc=0.9699383, dice=0.95644146, iou=0.916





Training Epoch [59/100]:  72%|▋| 31/43 [00:03<00:01,  8.79it/s, acc=0.9795952, dice=0.9811553, iou=0.9630















Training Epoch [66/100]:  60%|▌| 26/43 [00:02<00:02,  8.35it/s, acc=0.9227886, dice=0.90500474, iou=0.826















Training Epoch [72/100]:  63%|▋| 27/43 [00:03<00:02,  6.81it/s, acc=0.9485073, dice=0.9361458, iou=0.8799

















Training Epoch [79/100]:  49%|▍| 21/43 [00:02<00:02, 10.70it/s, acc=0.95451546, dice=0.9124743, iou=0.839


Training Epoch [80/100]:  65%|▋| 28/43 [00:03<00:01,  9.24it/s, acc=0.93509674, dice=0.8994219, iou=0.817












Training Epoch [85/100]:  72%|▋| 31/43 [00:03<00:01,  7.89it/s, acc=0.9569931, dice=0.94558984, iou=0.896










Training Epoch [89/100]:  58%|▌| 25/43 [00:02<00:01, 10.23it/s, acc=0.9592495, dice=0.9432221, iou=0.8925















Training Epoch [95/100]:  70%|▋| 30/43 [00:03<00:01,  9.12it/s, acc=0.9769707, dice=0.978084, iou=0.95710










Training Epoch [99/100]:  84%|▊| 36/43 [00:03<00:00, 10.00it/s, acc=0.9729786, dice=0.97986513, iou=0.960
